STA,LAT,LON,VALUE
,,,
,,,
陸檢1661,23.69061047,120.5062079,1.7
內部044,23.79254522,120.312482,-0.1
內部045,23.79483786,120.2923242,0.0
,,,
,,,
,,,
,,,
水資雲2,23.58630928,120.183327,2.6
水資雲3,23.65449469,120.3188125,-5.3
,,,
,,,
,,,
,,,
,,,
,,,
陸檢8650,23.66815153,120.1781824,-0.7
陸檢8653,23.61767756,120.1646804,1.7
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
雲BM21,23.56730636,120.1927504,2.8
,,,
,,,
雲BM26,23.66947078,120.3494198,-3.1
,,,
雲BM28,23.66819667,120.1781822,-0.8
,,,
雲BM30,23.67614797,120.2523473,-1.6
雲BM33,23.76353917,120.3096423,-1.8
,,,
,,,
,,,
,,,
,,,
,,,
口湖BM,23.58957058,120.1802206,2.6
,,,
,,,
崙背112M,23.76328378,120.3464134,-2.4
,,,
,,,
,,,
,,,
虎尾國小BM,23.71419367,120.431841,-1.1
海園BM,23.72041614,120.183867,0.9
,,,
,,,
,,,
,,,
,,,
油車國小BM,23.79650025,120.3921135,-1.8
海豐國小BM,23.76449925,120.2264245,0.7
,,,
,,,
,,,
,,,
能資所井5,23.71931494,120.2100291,0.4
,,,
能資所井7,23.76442708,120.2264347,0.7
能資所井8,23.78927353,120.2332447,0.8
,,,
,,,
CGSG065,23.79616492,120.391801,-1.5
CGSG069,23.71420039,120.4312133,-1.2
,,,
CGSG073,23.56589028,120.3011872,0.9
,,,
CGSG078,23.58682636,120.1837843,2.7
,,,
,,,
,,,
,,,
水資檢09,23.63354297,120.1515255,1.0
,,,
,,,
水資雲08,23.79605289,120.4189641,-1.1
水資雲09,23.78748206,120.3701561,-1.3
水資雲12,23.71864736,120.3266098,-2.7
,,,
,,,
水資雲15,23.69504892,120.3132779,-2.1
,,,
,,,
,,,
水資雲19,23.59344386,120.3021289,-0.8
水資雲20,23.65860764,120.3365046,-3.2
水資雲24,23.66216544,120.4623772,1.3
水資雲25,23.65473367,120.4494192,1.6
,,,
水資雲27,23.62780464,120.4094771,-1.4
水資雲28,23.60954569,120.3998186,-1.3
,,,
,,,
,,,
水資雲33,23.70087153,120.1897444,0.2
,,,
水資雲35,23.57689614,120.1911048,2.6
水資雲36,23.57299667,120.2396489,1.4
,,,
,,,
,,,
水利雲21-1,23.66397494,120.3743077,-2.9
水利雲23-1,23.69638081,120.4227793,-1.4
水利雲29-2,23.59623389,120.3877393,-1.0
水利雲37,23.67924114,120.3963437,-2.7
,,,
,,,
水利雲40,23.69232939,120.5100844,1.7
,,,
,,,
,,,
,,,
,,,
水利雲46,23.75547975,120.3741458,-3.4
水利雲47,23.75224817,120.3994214,-2.7
,,,
,,,
,,,
水利雲51,23.74559556,120.4212874,-1.9
,,,
水利雲53,23.73965256,120.4257178,-1.6
,,,
水利雲55,23.71890003,120.4423046,-0.9
水利雲56,23.71274522,120.4115275,-1.8
水利雲57,23.71046878,120.4065363,-1.6
,,,
水利雲59,23.70741719,120.3973027,-2.4
,,,
,,,
,,,
,,,
,,,
,,,
,,,
水利雲67,23.662968,120.3709304,-3.4
水利雲68,23.66286269,120.3694605,-3.6
