LAT,LON,VALUE_levelling,value_InSAR
,,,nan
,,,nan
23.69061047,120.5062079,1.7,"[array([0.7732162], dtype=float32)]"
23.79254522,120.312482,-0.1,"[array([-3.4028235e+38], dtype=float32)]"
23.79483786,120.2923242,0.0,"[array([-3.4028235e+38], dtype=float32)]"
,,,nan
,,,nan
,,,nan
,,,nan
23.58630928,120.183327,2.6,"[array([-3.4028235e+38], dtype=float32)]"
23.65449469,120.3188125,-5.3,"[array([-3.4028235e+38], dtype=float32)]"
,,,nan
,,,nan
,,,nan
,,,nan
,,,nan
,,,nan
23.66815153,120.1781824,-0.7,"[array([-3.4028235e+38], dtype=float32)]"
23.61767756,120.1646804,1.7,"[array([-3.4028235e+38], dtype=float32)]"
,,,nan
,,,nan
,,,nan
,,,nan
,,,nan
,,,nan
,,,nan
,,,nan
,,,nan
,,,nan
23.56730636,120.1927504,2.8,"[array([-3.4028235e+38], dtype=float32)]"
,,,nan
,,,nan
23.66947078,120.3494198,-3.1,"[array([-1.7866751], dtype=float32)]"
,,,nan
23.66819667,120.1781822,-0.8,"[array([-3.4028235e+38], dtype=float32)]"
,,,nan
23.67614797,120.2523473,-1.6,"[array([-3.4028235e+38], dtype=float32)]"
23.76353917,120.3096423,-1.8,"[array([-3.4028235e+38], dtype=float32)]"
,,,nan
,,,nan
,,,nan
,,,nan
,,,nan
,,,nan
23.58957058,120.1802206,2.6,"[array([-3.4028235e+38], dtype=float32)]"
,,,nan
,,,nan
23.76328378,120.3464134,-2.4,"[array([-1.2766278], dtype=float32)]"
,,,nan
,,,nan
,,,nan
,,,nan
23.71419367,120.431841,-1.1,"[array([-3.4028235e+38], dtype=float32)]"
23.72041614,120.183867,0.9,"[array([-3.4028235e+38], dtype=float32)]"
,,,nan
,,,nan
,,,nan
,,,nan
,,,nan
23.79650025,120.3921135,-1.8,"[array([-3.4028235e+38], dtype=float32)]"
23.76449925,120.2264245,0.7,"[array([-3.4028235e+38], dtype=float32)]"
,,,nan
,,,nan
,,,nan
,,,nan
23.71931494,120.2100291,0.4,"[array([-3.4028235e+38], dtype=float32)]"
,,,nan
23.76442708,120.2264347,0.7,"[array([-3.4028235e+38], dtype=float32)]"
23.78927353,120.2332447,0.8,"[array([-3.4028235e+38], dtype=float32)]"
,,,nan
,,,nan
23.79616492,120.391801,-1.5,"[array([-0.6615162], dtype=float32)]"
23.71420039,120.4312133,-1.2,"[array([-3.4028235e+38], dtype=float32)]"
,,,nan
23.56589028,120.3011872,0.9,"[array([-3.4028235e+38], dtype=float32)]"
,,,nan
23.58682636,120.1837843,2.7,"[array([-3.4028235e+38], dtype=float32)]"
,,,nan
,,,nan
,,,nan
,,,nan
23.63354297,120.1515255,1.0,"[array([-3.4028235e+38], dtype=float32)]"
,,,nan
,,,nan
23.79605289,120.4189641,-1.1,"[array([-3.4028235e+38], dtype=float32)]"
23.78748206,120.3701561,-1.3,"[array([-3.4028235e+38], dtype=float32)]"
23.71864736,120.3266098,-2.7,"[array([-3.4028235e+38], dtype=float32)]"
,,,nan
,,,nan
23.69504892,120.3132779,-2.1,"[array([-3.4028235e+38], dtype=float32)]"
,,,nan
,,,nan
,,,nan
23.59344386,120.3021289,-0.8,"[array([-3.4028235e+38], dtype=float32)]"
23.65860764,120.3365046,-3.2,"[array([-3.4028235e+38], dtype=float32)]"
23.66216544,120.4623772,1.3,"[array([-3.4028235e+38], dtype=float32)]"
23.65473367,120.4494192,1.6,"[array([-3.4028235e+38], dtype=float32)]"
,,,nan
23.62780464,120.4094771,-1.4,"[array([-3.4028235e+38], dtype=float32)]"
23.60954569,120.3998186,-1.3,"[array([-3.4028235e+38], dtype=float32)]"
,,,nan
,,,nan
,,,nan
23.70087153,120.1897444,0.2,"[array([-3.4028235e+38], dtype=float32)]"
,,,nan
23.57689614,120.1911048,2.6,"[array([-3.4028235e+38], dtype=float32)]"
23.57299667,120.2396489,1.4,"[array([-3.4028235e+38], dtype=float32)]"
,,,nan
,,,nan
,,,nan
23.66397494,120.3743077,-2.9,"[array([-3.4028235e+38], dtype=float32)]"
23.69638081,120.4227793,-1.4,"[array([-3.4028235e+38], dtype=float32)]"
23.59623389,120.3877393,-1.0,"[array([-3.4028235e+38], dtype=float32)]"
23.67924114,120.3963437,-2.7,"[array([-2.1915464], dtype=float32)]"
,,,nan
,,,nan
23.69232939,120.5100844,1.7,"[array([-3.4028235e+38], dtype=float32)]"
,,,nan
,,,nan
,,,nan
,,,nan
,,,nan
23.75547975,120.3741458,-3.4,"[array([-3.4028235e+38], dtype=float32)]"
23.75224817,120.3994214,-2.7,"[array([-2.3909338], dtype=float32)]"
,,,nan
,,,nan
,,,nan
23.74559556,120.4212874,-1.9,"[array([-3.4028235e+38], dtype=float32)]"
,,,nan
23.73965256,120.4257178,-1.6,"[array([-3.4028235e+38], dtype=float32)]"
,,,nan
23.71890003,120.4423046,-0.9,"[array([-1.8911638], dtype=float32)]"
23.71274522,120.4115275,-1.8,"[array([-2.159931], dtype=float32)]"
23.71046878,120.4065363,-1.6,"[array([-1.9184488], dtype=float32)]"
,,,nan
23.70741719,120.3973027,-2.4,"[array([-3.4028235e+38], dtype=float32)]"
,,,nan
,,,nan
,,,nan
,,,nan
,,,nan
,,,nan
,,,nan
23.662968,120.3709304,-3.4,"[array([-3.4028235e+38], dtype=float32)]"
23.66286269,120.3694605,-3.6,"[array([-2.2952394], dtype=float32)]"
23.66189942,120.36574,-3.4,"[array([-3.4028235e+38], dtype=float32)]"
23.66074086,120.3628635,-3.5,"[array([-3.4028235e+38], dtype=float32)]"
23.64617608,120.3476531,-2.1,"[array([-3.4028235e+38], dtype=float32)]"
23.63449358,120.3374298,-1.3,"[array([-3.4028235e+38], dtype=float32)]"
23.61830758,120.3341598,-3.6,"[array([-3.4028235e+38], dtype=float32)]"
23.59768542,120.3261314,-3.4,"[array([-3.4028235e+38], dtype=float32)]"
,,,nan
,,,nan
,,,nan
,,,nan
23.79502272,120.3770967,-0.8,"[array([-3.4028235e+38], dtype=float32)]"
,,,nan
,,,nan
,,,nan
